,Features
5970,"{'danceability': 0.557, 'energy': 0.995, 'key': 2, 'loudness': -3.847, 'mode': 1, 'speechiness': 0.0583, 'acousticness': 0.0888, 'instrumentalness': 0.137, 'liveness': 0.416, 'valence': 0.472, 'tempo': 139.446, 'type': 'audio_features', 'id': '7lj6UtoorYeYsfMO6XbCrf', 'uri': 'spotify:track:7lj6UtoorYeYsfMO6XbCrf', 'track_href': 'https://api.spotify.com/v1/tracks/7lj6UtoorYeYsfMO6XbCrf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7lj6UtoorYeYsfMO6XbCrf', 'duration_ms': 339867, 'time_signature': 4}"
5971,"{'danceability': 0.524, 'energy': 0.668, 'key': 7, 'loudness': -10.609, 'mode': 1, 'speechiness': 0.0432, 'acousticness': 0.373, 'instrumentalness': 0, 'liveness': 0.159, 'valence': 0.794, 'tempo': 126.846, 'type': 'audio_features', 'id': '123RhEzztpTieeEd13NexC', 'uri': 'spotify:track:123RhEzztpTieeEd13NexC', 'track_href': 'https://api.spotify.com/v1/tracks/123RhEzztpTieeEd13NexC', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/123RhEzztpTieeEd13NexC', 'duration_ms': 162760, 'time_signature': 4}"
5972,"{'danceability': 0.652, 'energy': 0.557, 'key': 1, 'loudness': -5.714, 'mode': 0, 'speechiness': 0.0318, 'acousticness': 0.74, 'instrumentalness': 0, 'liveness': 0.124, 'valence': 0.483, 'tempo': 150.073, 'type': 'audio_features', 'id': '2qxmye6gAegTMjLKEBoR3d', 'uri': 'spotify:track:2qxmye6gAegTMjLKEBoR3d', 'track_href': 'https://api.spotify.com/v1/tracks/2qxmye6gAegTMjLKEBoR3d', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2qxmye6gAegTMjLKEBoR3d', 'duration_ms': 169354, 'time_signature': 4}"
5973,"{'danceability': 0.543, 'energy': 0.958, 'key': 2, 'loudness': -4.215, 'mode': 1, 'speechiness': 0.0685, 'acousticness': 0.00175, 'instrumentalness': 0.00286, 'liveness': 0.263, 'valence': 0.532, 'tempo': 111.85, 'type': 'audio_features', 'id': '3zgFz1o1N0hMHDzXS0fpIp', 'uri': 'spotify:track:3zgFz1o1N0hMHDzXS0fpIp', 'track_href': 'https://api.spotify.com/v1/tracks/3zgFz1o1N0hMHDzXS0fpIp', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3zgFz1o1N0hMHDzXS0fpIp', 'duration_ms': 222200, 'time_signature': 4}"
5974,"{'danceability': 0.483, 'energy': 0.931, 'key': 2, 'loudness': -3.439, 'mode': 1, 'speechiness': 0.044, 'acousticness': 0.00826, 'instrumentalness': 0, 'liveness': 0.107, 'valence': 0.645, 'tempo': 160.05, 'type': 'audio_features', 'id': '3Dg1BK3rHo6mCvzSO2b9Ct', 'uri': 'spotify:track:3Dg1BK3rHo6mCvzSO2b9Ct', 'track_href': 'https://api.spotify.com/v1/tracks/3Dg1BK3rHo6mCvzSO2b9Ct', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3Dg1BK3rHo6mCvzSO2b9Ct', 'duration_ms': 214133, 'time_signature': 4}"
5975,"{'danceability': 0.361, 'energy': 0.986, 'key': 2, 'loudness': -2.486, 'mode': 1, 'speechiness': 0.103, 'acousticness': 0.00272, 'instrumentalness': 0.00109, 'liveness': 0.126, 'valence': 0.217, 'tempo': 92.334, 'type': 'audio_features', 'id': '4YthwCt7NMqxQCQfJPZMnU', 'uri': 'spotify:track:4YthwCt7NMqxQCQfJPZMnU', 'track_href': 'https://api.spotify.com/v1/tracks/4YthwCt7NMqxQCQfJPZMnU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4YthwCt7NMqxQCQfJPZMnU', 'duration_ms': 219762, 'time_signature': 4}"
5976,"{'danceability': 0.772, 'energy': 0.483, 'key': 6, 'loudness': -10.06, 'mode': 0, 'speechiness': 0.0564, 'acousticness': 0.0521, 'instrumentalness': 0.000375, 'liveness': 0.377, 'valence': 0.479, 'tempo': 120.005, 'type': 'audio_features', 'id': '0HEckRWFSknIupbGzavk5d', 'uri': 'spotify:track:0HEckRWFSknIupbGzavk5d', 'track_href': 'https://api.spotify.com/v1/tracks/0HEckRWFSknIupbGzavk5d', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0HEckRWFSknIupbGzavk5d', 'duration_ms': 277080, 'time_signature': 4}"
5977,"{'danceability': 0.743, 'energy': 0.659, 'key': 10, 'loudness': -6.755, 'mode': 1, 'speechiness': 0.0343, 'acousticness': 0.0998, 'instrumentalness': 0.00028, 'liveness': 0.0622, 'valence': 0.804, 'tempo': 114.033, 'type': 'audio_features', 'id': '6acDlNeA06MCVCzsTVGr9V', 'uri': 'spotify:track:6acDlNeA06MCVCzsTVGr9V', 'track_href': 'https://api.spotify.com/v1/tracks/6acDlNeA06MCVCzsTVGr9V', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6acDlNeA06MCVCzsTVGr9V', 'duration_ms': 255160, 'time_signature': 4}"
5978,"{'danceability': 0.403, 'energy': 0.881, 'key': 2, 'loudness': -7.224, 'mode': 1, 'speechiness': 0.108, 'acousticness': 0.158, 'instrumentalness': 9.86e-06, 'liveness': 0.107, 'valence': 0.287, 'tempo': 174.835, 'type': 'audio_features', 'id': '153bsdXSG7KD3Q8ShRNpNK', 'uri': 'spotify:track:153bsdXSG7KD3Q8ShRNpNK', 'track_href': 'https://api.spotify.com/v1/tracks/153bsdXSG7KD3Q8ShRNpNK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/153bsdXSG7KD3Q8ShRNpNK', 'duration_ms': 259754, 'time_signature': 4}"
5979,"{'danceability': 0.496, 'energy': 0.814, 'key': 9, 'loudness': -6.291, 'mode': 1, 'speechiness': 0.0497, 'acousticness': 0.601, 'instrumentalness': 0.846, 'liveness': 0.315, 'valence': 0.254, 'tempo': 98.083, 'type': 'audio_features', 'id': '5n8Na7z10ZfpfygddJlz3W', 'uri': 'spotify:track:5n8Na7z10ZfpfygddJlz3W', 'track_href': 'https://api.spotify.com/v1/tracks/5n8Na7z10ZfpfygddJlz3W', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5n8Na7z10ZfpfygddJlz3W', 'duration_ms': 240067, 'time_signature': 4}"
5980,"{'danceability': 0.343, 'energy': 0.295, 'key': 0, 'loudness': -18.524, 'mode': 1, 'speechiness': 0.0375, 'acousticness': 0.667, 'instrumentalness': 0.835, 'liveness': 0.0946, 'valence': 0.261, 'tempo': 171.668, 'type': 'audio_features', 'id': '6kpMYSZ58MkohGS7OkO4A9', 'uri': 'spotify:track:6kpMYSZ58MkohGS7OkO4A9', 'track_href': 'https://api.spotify.com/v1/tracks/6kpMYSZ58MkohGS7OkO4A9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6kpMYSZ58MkohGS7OkO4A9', 'duration_ms': 126373, 'time_signature': 4}"
5981,"{'danceability': 0.355, 'energy': 0.666, 'key': 0, 'loudness': -6.263, 'mode': 1, 'speechiness': 0.0364, 'acousticness': 9.21e-05, 'instrumentalness': 0, 'liveness': 0.116, 'valence': 0.268, 'tempo': 183.896, 'type': 'audio_features', 'id': '1P30N7kY4XwOw7vwmjRxPH', 'uri': 'spotify:track:1P30N7kY4XwOw7vwmjRxPH', 'track_href': 'https://api.spotify.com/v1/tracks/1P30N7kY4XwOw7vwmjRxPH', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1P30N7kY4XwOw7vwmjRxPH', 'duration_ms': 216693, 'time_signature': 3}"
5982,"{'danceability': 0.764, 'energy': 0.711, 'key': 4, 'loudness': -3.818, 'mode': 0, 'speechiness': 0.288, 'acousticness': 0.175, 'instrumentalness': 0, 'liveness': 0.105, 'valence': 0.774, 'tempo': 90.076, 'type': 'audio_features', 'id': '5KhFaq45chTw8RGfWo8T8J', 'uri': 'spotify:track:5KhFaq45chTw8RGfWo8T8J', 'track_href': 'https://api.spotify.com/v1/tracks/5KhFaq45chTw8RGfWo8T8J', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5KhFaq45chTw8RGfWo8T8J', 'duration_ms': 112667, 'time_signature': 4}"
5983,"{'danceability': 0.396, 'energy': 0.915, 'key': 2, 'loudness': -6.312, 'mode': 1, 'speechiness': 0.0861, 'acousticness': 0.00397, 'instrumentalness': 0.000848, 'liveness': 0.104, 'valence': 0.296, 'tempo': 165.187, 'type': 'audio_features', 'id': '0BiYKvf5gJ9bGNJnngyDkU', 'uri': 'spotify:track:0BiYKvf5gJ9bGNJnngyDkU', 'track_href': 'https://api.spotify.com/v1/tracks/0BiYKvf5gJ9bGNJnngyDkU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0BiYKvf5gJ9bGNJnngyDkU', 'duration_ms': 405693, 'time_signature': 4}"
5984,"{'danceability': 0.708, 'energy': 0.553, 'key': 5, 'loudness': -6.319, 'mode': 0, 'speechiness': 0.0262, 'acousticness': 0.0335, 'instrumentalness': 0, 'liveness': 0.101, 'valence': 0.589, 'tempo': 94.977, 'type': 'audio_features', 'id': '6g1B0hd6rlT3xP3mERUnz8', 'uri': 'spotify:track:6g1B0hd6rlT3xP3mERUnz8', 'track_href': 'https://api.spotify.com/v1/tracks/6g1B0hd6rlT3xP3mERUnz8', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6g1B0hd6rlT3xP3mERUnz8', 'duration_ms': 213213, 'time_signature': 4}"
5985,"{'danceability': 0.526, 'energy': 0.923, 'key': 11, 'loudness': -4.089, 'mode': 1, 'speechiness': 0.0282, 'acousticness': 0.00247, 'instrumentalness': 0.000164, 'liveness': 0.0866, 'valence': 0.775, 'tempo': 121.597, 'type': 'audio_features', 'id': '5Rjm3VIMlxAEIEy5gU2bF7', 'uri': 'spotify:track:5Rjm3VIMlxAEIEy5gU2bF7', 'track_href': 'https://api.spotify.com/v1/tracks/5Rjm3VIMlxAEIEy5gU2bF7', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5Rjm3VIMlxAEIEy5gU2bF7', 'duration_ms': 231027, 'time_signature': 4}"
5986,"{'danceability': 0.672, 'energy': 0.842, 'key': 0, 'loudness': -7.673, 'mode': 1, 'speechiness': 0.256, 'acousticness': 0.0112, 'instrumentalness': 0.135, 'liveness': 0.0381, 'valence': 0.694, 'tempo': 147.093, 'type': 'audio_features', 'id': '1oP9MTgQc5qHhamMCt4sky', 'uri': 'spotify:track:1oP9MTgQc5qHhamMCt4sky', 'track_href': 'https://api.spotify.com/v1/tracks/1oP9MTgQc5qHhamMCt4sky', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1oP9MTgQc5qHhamMCt4sky', 'duration_ms': 205067, 'time_signature': 3}"
5987,"{'danceability': 0.812, 'energy': 0.507, 'key': 1, 'loudness': -8.825, 'mode': 0, 'speechiness': 0.0452, 'acousticness': 0.0399, 'instrumentalness': 0.0831, 'liveness': 0.0671, 'valence': 0.729, 'tempo': 114.832, 'type': 'audio_features', 'id': '4yrM5BVyJzy5Ed4GPO6e8j', 'uri': 'spotify:track:4yrM5BVyJzy5Ed4GPO6e8j', 'track_href': 'https://api.spotify.com/v1/tracks/4yrM5BVyJzy5Ed4GPO6e8j', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4yrM5BVyJzy5Ed4GPO6e8j', 'duration_ms': 347667, 'time_signature': 4}"
5988,"{'danceability': 0.496, 'energy': 0.981, 'key': 8, 'loudness': -3.268, 'mode': 1, 'speechiness': 0.108, 'acousticness': 9.33e-06, 'instrumentalness': 0, 'liveness': 0.0958, 'valence': 0.163, 'tempo': 109.905, 'type': 'audio_features', 'id': '3UULkHdmLDqBDPmBYltoRE', 'uri': 'spotify:track:3UULkHdmLDqBDPmBYltoRE', 'track_href': 'https://api.spotify.com/v1/tracks/3UULkHdmLDqBDPmBYltoRE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3UULkHdmLDqBDPmBYltoRE', 'duration_ms': 259960, 'time_signature': 4}"
5989,"{'danceability': 0.691, 'energy': 0.324, 'key': 0, 'loudness': -15.367, 'mode': 1, 'speechiness': 0.0446, 'acousticness': 0.171, 'instrumentalness': 0.0219, 'liveness': 0.0674, 'valence': 0.543, 'tempo': 121.664, 'type': 'audio_features', 'id': '3kbUFmLV5SHVQonfOpNgkd', 'uri': 'spotify:track:3kbUFmLV5SHVQonfOpNgkd', 'track_href': 'https://api.spotify.com/v1/tracks/3kbUFmLV5SHVQonfOpNgkd', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3kbUFmLV5SHVQonfOpNgkd', 'duration_ms': 223067, 'time_signature': 4}"
5990,"{'danceability': 0.327, 'energy': 0.955, 'key': 5, 'loudness': -5.435, 'mode': 1, 'speechiness': 0.105, 'acousticness': 0.00348, 'instrumentalness': 0, 'liveness': 0.435, 'valence': 0.661, 'tempo': 145.859, 'type': 'audio_features', 'id': '7E7UH5jsEw1vhiM01EQ5gL', 'uri': 'spotify:track:7E7UH5jsEw1vhiM01EQ5gL', 'track_href': 'https://api.spotify.com/v1/tracks/7E7UH5jsEw1vhiM01EQ5gL', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7E7UH5jsEw1vhiM01EQ5gL', 'duration_ms': 185627, 'time_signature': 4}"
5991,"{'danceability': 0.481, 'energy': 0.879, 'key': 11, 'loudness': -5.178, 'mode': 0, 'speechiness': 0.268, 'acousticness': 0.0073, 'instrumentalness': 1.72e-05, 'liveness': 0.127, 'valence': 0.533, 'tempo': 89.436, 'type': 'audio_features', 'id': '1gGcKk7W1priUoTwotuoqT', 'uri': 'spotify:track:1gGcKk7W1priUoTwotuoqT', 'track_href': 'https://api.spotify.com/v1/tracks/1gGcKk7W1priUoTwotuoqT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1gGcKk7W1priUoTwotuoqT', 'duration_ms': 301533, 'time_signature': 4}"
5992,"{'danceability': 0.305, 'energy': 0.77, 'key': 2, 'loudness': -6.694, 'mode': 1, 'speechiness': 0.0276, 'acousticness': 0.062, 'instrumentalness': 0.203, 'liveness': 0.0976, 'valence': 0.374, 'tempo': 107.367, 'type': 'audio_features', 'id': '2wNK1PjIS9NbBIchakaL7k', 'uri': 'spotify:track:2wNK1PjIS9NbBIchakaL7k', 'track_href': 'https://api.spotify.com/v1/tracks/2wNK1PjIS9NbBIchakaL7k', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2wNK1PjIS9NbBIchakaL7k', 'duration_ms': 729680, 'time_signature': 4}"
5993,"{'danceability': 0.529, 'energy': 0.9, 'key': 1, 'loudness': -3.503, 'mode': 1, 'speechiness': 0.418, 'acousticness': 0.000248, 'instrumentalness': 1.21e-05, 'liveness': 0.0426, 'valence': 0.434, 'tempo': 180.291, 'type': 'audio_features', 'id': '2QpGZOhTCHHiKmpSO9FW4h', 'uri': 'spotify:track:2QpGZOhTCHHiKmpSO9FW4h', 'track_href': 'https://api.spotify.com/v1/tracks/2QpGZOhTCHHiKmpSO9FW4h', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2QpGZOhTCHHiKmpSO9FW4h', 'duration_ms': 104591, 'time_signature': 4}"
5994,"{'danceability': 0.818, 'energy': 0.612, 'key': 6, 'loudness': -7.486, 'mode': 0, 'speechiness': 0.0718, 'acousticness': 0.0372, 'instrumentalness': 0.000396, 'liveness': 0.0815, 'valence': 0.397, 'tempo': 154.904, 'type': 'audio_features', 'id': '2TXFiWdsgl4dw7q4Le3YZW', 'uri': 'spotify:track:2TXFiWdsgl4dw7q4Le3YZW', 'track_href': 'https://api.spotify.com/v1/tracks/2TXFiWdsgl4dw7q4Le3YZW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2TXFiWdsgl4dw7q4Le3YZW', 'duration_ms': 266400, 'time_signature': 4}"
5995,"{'danceability': 0.43, 'energy': 0.978, 'key': 2, 'loudness': -3.61, 'mode': 1, 'speechiness': 0.0697, 'acousticness': 0.00048, 'instrumentalness': 0.201, 'liveness': 0.376, 'valence': 0.732, 'tempo': 162.088, 'type': 'audio_features', 'id': '3cFumR9mKXUyQutmdLELqb', 'uri': 'spotify:track:3cFumR9mKXUyQutmdLELqb', 'track_href': 'https://api.spotify.com/v1/tracks/3cFumR9mKXUyQutmdLELqb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3cFumR9mKXUyQutmdLELqb', 'duration_ms': 210467, 'time_signature': 4}"
5996,"{'danceability': 0.943, 'energy': 0.261, 'key': 0, 'loudness': -8.067, 'mode': 1, 'speechiness': 0.16, 'acousticness': 0.0045, 'instrumentalness': 0.0114, 'liveness': 0.104, 'valence': 0.0635, 'tempo': 102.001, 'type': 'audio_features', 'id': '6l26j7uCiDstBiYTuiaInV', 'uri': 'spotify:track:6l26j7uCiDstBiYTuiaInV', 'track_href': 'https://api.spotify.com/v1/tracks/6l26j7uCiDstBiYTuiaInV', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6l26j7uCiDstBiYTuiaInV', 'duration_ms': 191813, 'time_signature': 4}"
5997,"{'danceability': 0.584, 'energy': 0.54, 'key': 1, 'loudness': -7.786, 'mode': 0, 'speechiness': 0.0576, 'acousticness': 0.0895, 'instrumentalness': 0, 'liveness': 0.261, 'valence': 0.195, 'tempo': 137.972, 'type': 'audio_features', 'id': '3ebXMykcMXOcLeJ9xZ17XH', 'uri': 'spotify:track:3ebXMykcMXOcLeJ9xZ17XH', 'track_href': 'https://api.spotify.com/v1/tracks/3ebXMykcMXOcLeJ9xZ17XH', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3ebXMykcMXOcLeJ9xZ17XH', 'duration_ms': 220883, 'time_signature': 4}"
5998,"{'danceability': 0.601, 'energy': 0.212, 'key': 4, 'loudness': -18.966, 'mode': 1, 'speechiness': 0.0369, 'acousticness': 0.866, 'instrumentalness': 0.643, 'liveness': 0.108, 'valence': 0.538, 'tempo': 109.172, 'type': 'audio_features', 'id': '5h8TLi78KzIPIItmOo1Mqf', 'uri': 'spotify:track:5h8TLi78KzIPIItmOo1Mqf', 'track_href': 'https://api.spotify.com/v1/tracks/5h8TLi78KzIPIItmOo1Mqf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5h8TLi78KzIPIItmOo1Mqf', 'duration_ms': 77013, 'time_signature': 4}"
5999,"{'danceability': 0.561, 'energy': 0.503, 'key': 2, 'loudness': -11.123, 'mode': 1, 'speechiness': 0.0362, 'acousticness': 0.0049, 'instrumentalness': 0.891, 'liveness': 0.386, 'valence': 0.0362, 'tempo': 104.14, 'type': 'audio_features', 'id': '6pxWghcPKRSjZPj8Ba9vpB', 'uri': 'spotify:track:6pxWghcPKRSjZPj8Ba9vpB', 'track_href': 'https://api.spotify.com/v1/tracks/6pxWghcPKRSjZPj8Ba9vpB', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6pxWghcPKRSjZPj8Ba9vpB', 'duration_ms': 364533, 'time_signature': 4}"
6000,"{'danceability': 0.514, 'energy': 0.632, 'key': 2, 'loudness': -6.305, 'mode': 1, 'speechiness': 0.0501, 'acousticness': 0.208, 'instrumentalness': 0.0132, 'liveness': 0.115, 'valence': 0.31, 'tempo': 94.569, 'type': 'audio_features', 'id': '601KiLiZtBJRTXBrTjeieP', 'uri': 'spotify:track:601KiLiZtBJRTXBrTjeieP', 'track_href': 'https://api.spotify.com/v1/tracks/601KiLiZtBJRTXBrTjeieP', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/601KiLiZtBJRTXBrTjeieP', 'duration_ms': 233818, 'time_signature': 4}"
6001,"{'danceability': 0.381, 'energy': 0.592, 'key': 7, 'loudness': -10.879, 'mode': 1, 'speechiness': 0.289, 'acousticness': 0.45, 'instrumentalness': 0, 'liveness': 0.534, 'valence': 0.673, 'tempo': 84.974, 'type': 'audio_features', 'id': '685wafKZSIbPoZeuzDvcWs', 'uri': 'spotify:track:685wafKZSIbPoZeuzDvcWs', 'track_href': 'https://api.spotify.com/v1/tracks/685wafKZSIbPoZeuzDvcWs', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/685wafKZSIbPoZeuzDvcWs', 'duration_ms': 67520, 'time_signature': 1}"
6002,"{'danceability': 0.676, 'energy': 0.692, 'key': 9, 'loudness': -13.093, 'mode': 1, 'speechiness': 0.052, 'acousticness': 0.668, 'instrumentalness': 0.00915, 'liveness': 0.13, 'valence': 0.799, 'tempo': 102.516, 'type': 'audio_features', 'id': '0RgcOUQg4qYAEt9RIdf3oB', 'uri': 'spotify:track:0RgcOUQg4qYAEt9RIdf3oB', 'track_href': 'https://api.spotify.com/v1/tracks/0RgcOUQg4qYAEt9RIdf3oB', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0RgcOUQg4qYAEt9RIdf3oB', 'duration_ms': 170160, 'time_signature': 4}"
6003,"{'danceability': 0.701, 'energy': 0.557, 'key': 9, 'loudness': -8.816, 'mode': 1, 'speechiness': 0.0291, 'acousticness': 0.102, 'instrumentalness': 0.865, 'liveness': 0.164, 'valence': 0.586, 'tempo': 109.995, 'type': 'audio_features', 'id': '4SxoponB2oxqjuOSNYhTjb', 'uri': 'spotify:track:4SxoponB2oxqjuOSNYhTjb', 'track_href': 'https://api.spotify.com/v1/tracks/4SxoponB2oxqjuOSNYhTjb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4SxoponB2oxqjuOSNYhTjb', 'duration_ms': 291733, 'time_signature': 4}"
6004,"{'danceability': 0.607, 'energy': 0.869, 'key': 5, 'loudness': -5.271, 'mode': 1, 'speechiness': 0.345, 'acousticness': 0.781, 'instrumentalness': 0, 'liveness': 0.137, 'valence': 0.577, 'tempo': 155.983, 'type': 'audio_features', 'id': '6cfVDaIdvDtYH91RqC6Wox', 'uri': 'spotify:track:6cfVDaIdvDtYH91RqC6Wox', 'track_href': 'https://api.spotify.com/v1/tracks/6cfVDaIdvDtYH91RqC6Wox', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6cfVDaIdvDtYH91RqC6Wox', 'duration_ms': 173158, 'time_signature': 4}"
6005,"{'danceability': 0.632, 'energy': 0.429, 'key': 4, 'loudness': -6.784, 'mode': 0, 'speechiness': 0.0381, 'acousticness': 0.0448, 'instrumentalness': 0, 'liveness': 0.132, 'valence': 0.521, 'tempo': 143.795, 'type': 'audio_features', 'id': '5wfiaGgyuQcW2hvDy2NB5J', 'uri': 'spotify:track:5wfiaGgyuQcW2hvDy2NB5J', 'track_href': 'https://api.spotify.com/v1/tracks/5wfiaGgyuQcW2hvDy2NB5J', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5wfiaGgyuQcW2hvDy2NB5J', 'duration_ms': 273653, 'time_signature': 4}"
6006,"{'danceability': 0, 'energy': 0.00342, 'key': 8, 'loudness': -28.46, 'mode': 1, 'speechiness': 0, 'acousticness': 0.791, 'instrumentalness': 1.0, 'liveness': 0.111, 'valence': 0, 'tempo': 0, 'type': 'audio_features', 'id': '2bRKxuH1o7pTmb1y4GfdEc', 'uri': 'spotify:track:2bRKxuH1o7pTmb1y4GfdEc', 'track_href': 'https://api.spotify.com/v1/tracks/2bRKxuH1o7pTmb1y4GfdEc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2bRKxuH1o7pTmb1y4GfdEc', 'duration_ms': 90228, 'time_signature': 0}"
6007,"{'danceability': 0.521, 'energy': 0.625, 'key': 1, 'loudness': -7.47, 'mode': 1, 'speechiness': 0.067, 'acousticness': 0.0301, 'instrumentalness': 0, 'liveness': 0.121, 'valence': 0.136, 'tempo': 101.019, 'type': 'audio_features', 'id': '0r2Bul2NuCViraT2zX1l5j', 'uri': 'spotify:track:0r2Bul2NuCViraT2zX1l5j', 'track_href': 'https://api.spotify.com/v1/tracks/0r2Bul2NuCViraT2zX1l5j', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0r2Bul2NuCViraT2zX1l5j', 'duration_ms': 334067, 'time_signature': 4}"
6008,"{'danceability': 0.861, 'energy': 0.647, 'key': 7, 'loudness': -7.425, 'mode': 1, 'speechiness': 0.0675, 'acousticness': 0.594, 'instrumentalness': 0.661, 'liveness': 0.114, 'valence': 0.67, 'tempo': 158.037, 'type': 'audio_features', 'id': '4S4Mfvv03M1cHgIOJcbUCL', 'uri': 'spotify:track:4S4Mfvv03M1cHgIOJcbUCL', 'track_href': 'https://api.spotify.com/v1/tracks/4S4Mfvv03M1cHgIOJcbUCL', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4S4Mfvv03M1cHgIOJcbUCL', 'duration_ms': 133680, 'time_signature': 4}"
6009,"{'danceability': 0.878, 'energy': 0.84, 'key': 6, 'loudness': -13.105, 'mode': 0, 'speechiness': 0.064, 'acousticness': 0.0421, 'instrumentalness': 0.0035, 'liveness': 0.053, 'valence': 0.882, 'tempo': 116.222, 'type': 'audio_features', 'id': '7LoGfKBAaOl0nxhodJ1240', 'uri': 'spotify:track:7LoGfKBAaOl0nxhodJ1240', 'track_href': 'https://api.spotify.com/v1/tracks/7LoGfKBAaOl0nxhodJ1240', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7LoGfKBAaOl0nxhodJ1240', 'duration_ms': 260000, 'time_signature': 4}"
6010,"{'danceability': 0.653, 'energy': 0.883, 'key': 5, 'loudness': -7.277, 'mode': 0, 'speechiness': 0.0338, 'acousticness': 0.0176, 'instrumentalness': 0.000291, 'liveness': 0.161, 'valence': 0.978, 'tempo': 157.98, 'type': 'audio_features', 'id': '5MuWU8UkuUpmQMVgLqkEIb', 'uri': 'spotify:track:5MuWU8UkuUpmQMVgLqkEIb', 'track_href': 'https://api.spotify.com/v1/tracks/5MuWU8UkuUpmQMVgLqkEIb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5MuWU8UkuUpmQMVgLqkEIb', 'duration_ms': 208573, 'time_signature': 4}"
6011,"{'danceability': 0.564, 'energy': 0.156, 'key': 2, 'loudness': -21.344, 'mode': 1, 'speechiness': 0.0573, 'acousticness': 0.26, 'instrumentalness': 0.889, 'liveness': 0.085, 'valence': 0.493, 'tempo': 86.994, 'type': 'audio_features', 'id': '2R8QCewsnQvqgcArl48GQ9', 'uri': 'spotify:track:2R8QCewsnQvqgcArl48GQ9', 'track_href': 'https://api.spotify.com/v1/tracks/2R8QCewsnQvqgcArl48GQ9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2R8QCewsnQvqgcArl48GQ9', 'duration_ms': 103515, 'time_signature': 4}"
6012,"{'danceability': 0.638, 'energy': 0.942, 'key': 5, 'loudness': -4.163, 'mode': 0, 'speechiness': 0.0857, 'acousticness': 0.015, 'instrumentalness': 0, 'liveness': 0.31, 'valence': 0.745, 'tempo': 142.896, 'type': 'audio_features', 'id': '3lnjFENd7rHxPYM9b964Md', 'uri': 'spotify:track:3lnjFENd7rHxPYM9b964Md', 'track_href': 'https://api.spotify.com/v1/tracks/3lnjFENd7rHxPYM9b964Md', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3lnjFENd7rHxPYM9b964Md', 'duration_ms': 164680, 'time_signature': 4}"
6013,"{'danceability': 0.441, 'energy': 0.71, 'key': 8, 'loudness': -5.488, 'mode': 0, 'speechiness': 0.0291, 'acousticness': 0.000682, 'instrumentalness': 0.134, 'liveness': 0.121, 'valence': 0.114, 'tempo': 105.254, 'type': 'audio_features', 'id': '3pvTTAniXOLKWWtXn5sViP', 'uri': 'spotify:track:3pvTTAniXOLKWWtXn5sViP', 'track_href': 'https://api.spotify.com/v1/tracks/3pvTTAniXOLKWWtXn5sViP', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3pvTTAniXOLKWWtXn5sViP', 'duration_ms': 240107, 'time_signature': 4}"
